Page Name,User Name,Facebook Id,Page Category,Page Admin Top Country,Page Description,Page Created,Likes at Posting,Followers at Posting,Post Created,Post Created Date,Post Created Time,Type,Total Interactions,Likes,Comments,Shares,Love,Wow,Haha,Sad,Angry,Care,Video Share Status,Is Video Owner?,Post Views,Total Views,Total Views For All Crossposts,Video Length,URL,Message,Link,Final Link,Image Text,Link Text,Description,Sponsor Id,Sponsor Name,Sponsor Category,Total Interactions (weighted  —  Likes 1x Shares 1x Comments 1x Love 1x Wow 1x Haha 1x Sad 1x Angry 1x Care 1x ),Overperforming Score
Causeur.fr,causeur,154087694129,TOPIC_NEWSPAPER,FR,"""Surtout si vous n'êtes pas d'accord."" Causeur est animé par Elisabeth Lévy, Gil Mihaely, Jérôme Leroy, Martin Pimentel, Jeremy Stubbs, Céline Pina...",2009-10-14 20:31:09,63541,67249,2022-09-04 23:14:01 PDT,2022-09-04,23:14:01,Photo,41,29,8,3,0,0,0,0,1,0,,-,0,0,0,N/A,https://www.facebook.com/154087694129/posts/10159377046674130,"[JEU] Le nouveau numéro de Causeur débarque chez votre marchand de journaux mercredi ! D'ici là, tentez de deviner le titre de la une dans les commentaires... Causeur.fr",https://www.facebook.com/causeur/photos/a.10150358484334130/10159377046674130/?type=3,,"CHRISTINE KELLY LES ENVIEUX, ZEMMOUR ET MOI AANNITE CAUSEUR www.causeur.fr- Surtout si vous 'êtes pas d'accord septembre 2022 MARCEL GAUCHET POURQUOI MACRON Don @asammg Maso Catda URBANISME, ART, MODE... LE TRIOMPHE DE LA LAIDEUR AVEC ALAIN FINKIELKRAUT, RENAUD CAMUS, PIERRE VERMEREN...",Timeline photos,,,,,41,-5.49
Les Profs avec Zemmour,ZemmourProfs,100075624172093,MEDIA_NEWS_COMPANY,FR,"Pour une grande réforme de l'Éducation nationale fondée sur le mérite, l'excellence, et l'autori",2021-10-22 17:57:37,2220,2454,2022-03-20 10:45:50 PDT,2022-03-20,10:45:50,Link,40,30,1,7,2,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/111003798036077/posts/152604220542701,https://www.causeur.fr/marion-marechal-grand-jury-grand-remplacement-226862?utm_source=Envoi+Newsletter&utm_campaign=b9f3fae29c-Recap+de+la+semaine_COPY_01&utm_medium=email&utm_term=0_6ea50029f3-b9f3fae29c-57751301:=:https://www.causeur.fr/marion-marechal-grand-jury-grand-remplacement-226862 Marion Maréchal a porté la parole dans la plaie et révélé les graves faiblesses du journalisme audiovisuel.,https://www.causeur.fr/marion-marechal-grand-jury-grand-remplacement-226862?utm_source=Envoi+Newsletter&utm_campaign=b9f3fae29c-Recap+de+la+semaine_COPY_01&utm_medium=email&utm_term=0_6ea50029f3-b9f3fae29c-57751301,https://www.causeur.fr/marion-marechal-grand-jury-grand-remplacement-226862,,“Grand remplacement”: Marion Maréchal stupéfie les journalistes - Causeur,"Invitée de RTL suite à son ralliement à Eric Zemmour, Marion Maréchal est apparue complètement libérée. Elle a mis en difficulté les journalistes qui l’asticotaient sur le thème du “grand remplacement”, alors qu’ils n’avaient pas lu l’ouvrage de Renaud Camus.",,,,40,-1.6
Pro bamako Rumeur,probamakorumeur,100057555095522,BLOGGER,ML,Page de loisirs ,2014-02-12 17:46:28,179152,370113,2022-05-18 04:25:48 PDT,2022-05-18,04:25:48,Photo,40,39,0,0,1,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/574369062652327/posts/5134429733312881,"RAS-LE-BOL de l’indignation à géométrie variable. LA LIBERTÉ D’EXPRESSION À GÉOMÉTRIE VARIABLE ! Si le footballeur Idrissa Gueye #idrissaganagueye ne veut pas s’agenouiller pour une cause qui ne correspond pas à ses convictions, à ses valeurs… FOUTEZ LUI LA PAIX !! Ce ne sont pas des médias français qui NOURRISSENT LE RACISME LE PLUS ABJECTE DANS TOUTE L’EUROPE ET PAS SEULEMENT ( le tueur de Buffalo aux USA se réclame de Renaud Camus et zemmour) … ce ne sont pas ces organes coupables de complicité de violences sociales qui vont lui donner des leçons de morale !!! Que l’on soit d’accord ou pas avec Idrissa Gana Gueye, IL A LE DROIT DE DÉCIDER DE SA POSTURE EN SOCIÉTÉ. Il n’a insulté PERSONNE…lui ! #soutienganagueye ———————————————————————— Voici la déclaration de IDRISSA GANA GUEYE: ""JE SUIS le fils d'un Peuple qui a ses PRINCIPES, ses CONVICTIONS et son HUMANITÉ. Je ne suis PAS FRANÇAIS mais SÉNÉGALAIS. Votre DRAPEAU est colorée, ma FOI est ancrée. Mes CHOIX vous ont choqués. Ils font ma fierté. J'ai joué avec des CHRÉTIENS, JUIFS, ANIMISTES. ""Je n'ai jamais jugé. Je vis de mes principes et vous me jugez ! ""VOUS DITES que le football UNIT. Ma Religion RÉUNIT ! En football la décision de l'arbitre est parfois mitigée. Pourtant vous l'acceptez. ""VOUS ME TAXEZ d'HOMOPHOBE, alors que vous êtes des XÉNOPHOBES ! ""VOUS INTERDISEZ le voile et vous m'insultez sur la toile. Je suis un footballeur, pas un suiveur. ""QUAND on nous insulte dans les stades, vous restez fades. ""JE SUIS Idrissa Gana GUÉYE Et non pas Idrissa Gana GAY ! ""VOUS AVEZ Eric ZEMMOUR, moi j'ai l'AMOUR ! Valérie fait un prêt à la caisse et veut que je remplisse ses caisses. ""LA COULEUR de ma Foi est VERTE, pas BLANCHE ! ""IDRISSA GANE GUÈYE est ce qu'il est et respecte toute les religions révélées. Il est bien éduqué et respecte toutes les identités. ""IDRISSA GANA GUÈYE n'est pas un complexé c'est un Sénégalais. Ta liberté s'arrête là où commence la mienne. ""ALORS, RESPECTE MES CONVICTIONS ! ET GARDE LES TIENNES"". (IGG)",https://www.facebook.com/probamakorumeur/photos/a.574486205973946/5134429666646221/?type=3,,,,,,,,40,-6.53
L'italia agli Italiani,italiaagliitaliani1,100064720290390,ACTIVITY_GENERAL,IT,Interest,2017-03-01 22:02:39,56918,57448,2020-01-08 06:05:14 PST,2020-01-08,06:05:14,Link,40,22,1,17,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/613842818813479/posts/1234867226711032,Parla il guru anti-immigrazione: “Tutti devono essere respinti”,http://ow.ly/Gp4w30q7Lrh,https://www.worldnotix.net/2020/01/08/parla-il-guru-anti-immigrazione-tutti-devono-essere-respinti/,,"Parla il guru anti-immigrazione: ""Tutti devono essere respinti"" - Notizie Dal Mondo","Loading... “Approvo la sensibilità di Matteo Salvini verso l’immigrazione, ma ho l’impressione che non sia realmente contro: vuole solo ripartirla in tutta l’Europa. Invece, secondo me, deve essere respinta”, parla così Renaud Camus, scrittore francese autore de La...",,,,40,1.25
KOD STOP,,100044505306658,ACTIVITY_GENERAL,PL,Stop dla KOD i partii popierających ten twór.,2016-02-19 09:04:56,12685,12833,2020-02-02 05:17:37 PST,2020-02-02,05:17:37,Link,40,1,3,9,0,4,0,5,18,0,,-,0,0,0,N/A,https://www.facebook.com/1701256710142633/posts/2567363843531911,"Francuski pisarz, diarysta i eseista Renaud Camus został skazany na 2 miesiące więzienia w zawieszeniu pod warunkiem, że wpłaci po 1800 euro na konta dwóch antyrasistowskich stowarzyszeń, SOS Racisme i LICRA (Międzynarodowa Liga przeciwko Rasizmowi i Antysemityzmowi) – informuje poratal Media Narodowe.",https://www.magnapolonia.org/francuski-pisarz-ktory-sprzeciwial-sie-masowej-imigracji-uslyszal-wyrok/?utm_source=Facebook&utm_medium=WitBed&utm_campaign=WitBed,,,"Francuski pisarz, który sprzeciwiał się masowej imigracji, usłyszał wyrok","Francuski pisarz, diarysta i eseista Renaud Camus został skazany na 2 miesiące więzienia w zawieszeniu pod warunkiem, że wpłaci po 1800 euro na konta dwóch antyrasistowskich stowarzyszeń, SOS Racisme i LICRA (Międzynarodowa Liga przeciwko Rasizmowi i Antysemityzmowi) – informuje poratal Me...",,,,40,1.48
Breizh-Info,breizhinformation,100063863568639,TOPIC_NEWSPAPER,FR,"Journal d'information breton en ligne, actualité bretonne, politique, information, réinformation. ",2013-05-16 13:08:15,24753,25557,2020-11-29 23:24:22 PST,2020-11-29,23:24:22,Link,40,16,3,7,1,0,0,0,12,1,,-,0,0,0,N/A,https://www.facebook.com/583073041725451/posts/3848634978502558,"Quatre mois de prison avec sursis requis contre Renaud Camus. Voilà le prix de la liberté d’expression en France ! L’objet du délit ? Un tweet de 280 caractères, génial il est vrai. « Une boîte de préservatifs offerte en Afrique c’est trois noyés en moins en Méditerranée, cent mille euros d’économie pour la Caf, deux cellules de prison libérées et trois centimètres de banquise préservés. » On n’embastille plus Voltaire ? Détrompez-vous.",https://www.breizh-info.com/2020/11/30/154727/jetais-au-proces-de-renaud-camus-lambiance-netait-pas-vraiment-charlie/,,,"« J’étais au procès de Renaud Camus, l’ambiance n’était pas vraiment Charlie »",Quatre mois de prison avec sursis requis contre Renaud Camus. Voilà le prix de la liberté d’expression en France ! L’objet du délit ? Un tweet de 280,,,,40,-1.05
La France libre,LaFranceLibr,100075996107904,POLITICAL_ORGANIZATION,,A tous les Français qui désirent retrouver l'honneur de leur nation face au parti de la capitulation.,2021-10-18 16:07:49,798,840,2023-02-11 09:51:58 PST,2023-02-11,09:51:58,Photo,39,17,0,8,1,0,13,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100075996107904/posts/209092808300588,,https://www.facebook.com/photo.php?fbid=209092791633923&set=a.117701667439703&type=3,,t Renaud Camus a retweeté Renaud Camus @RenaudCamus La plupart des imams parlent tellement mal le français qu'on jurerait qu'ils ont fait leurs études en France. 10:34 30 déc. 16,,,,,,39,1.44
Renaud Camus,RenaudCamusOfficiel,100024849356522,POLITICIAN,,"Fondateur du Conseil National de la Résistance Européenne
Écrivain - Président du parti de l'In-",2018-03-17 09:26:50,2558,2807,2020-12-05 03:52:55 PST,2020-12-05,03:52:55,Photo,39,19,1,3,3,0,13,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/430026910763755/posts/1098348617264911,,https://www.facebook.com/BibliothequeRenaudCamus/photos/a.109310594282460/144883514058501/?type=3,https://www.facebook.com/login/?next=https%3A%2F%2Fwww.facebook.com%2Flogin%2F%3Fnext%3Dhttps%253A%252F%252Fwww.facebook.com%252Flogin%252F%253Fnext%253Dhttps%25253A%25252F%25252Fwww.facebook.com%25252Flogin%25252F%25253Fnext%25253Dhttps%2525253A%2525252F%2525252Fwww.facebook.com%2525252Flogin%2525252F%2525253Fnext%2525253Dhttps%252525253A%252525252F%252525252Fwww.facebook.com%252525252Flogin%252525252F%252525253Fnext%252525253Dhttps%25252525253A%25252525252F%25252525252Fwww.facebook.com%25252525252Flogin%25252525252F%25252525253Fnext%25252525253Dhttps%2525252525253A%2525252525252F%2525252525252Fwww.facebook.com%2525252525252Flogin%2525252525252F%2525252525253Fnext%2525252525253Dhttps%252525252525253A%252525252525252F%252525252525252Fwww.facebook.com%252525252525252Flogin%252525252525252F%252525252525253Fnext%252525252525253Dhttps%25252525252525253A%25252525252525252F%25252525252525252Fwww.facebook.com%25252525252525252Flogin%25252525252525252F%25252525252525253Fnext%25252525252525253Dhttps%2525252525252525253A%2525252525252525252F%2525252525252525252Fwww.facebook.com%2525252525252525252FBibliothequeRenaudCamus%2525252525252525252Fphotos%2525252525252525252Fa.109310594282460%2525252525252525252F144883514058501%2525252525252525252F%2525252525252525253Ftype%2525252525252525253D3,,Bibliothèque de Renaud Camus,"Votre vie de famille est trop calme ? 

Offrez à Noël Le Grand Remplacement.

https://www.amazon.fr/Grand-Remplacement-Renaud-Camus/dp/B07ZWBRG9P",,,,39,1.05
Socialisme libertaire,socialisme.libertaire,100064701697526,CAUSE,FR,"★ Blog SOCIALISME LIBERTAIRE
Anarchisme - Anticapitalisme - Internationalisme - Écologie - Féminisme",2015-04-29 19:55:22,13990,15109,2021-10-10 01:52:49 PDT,2021-10-10,01:52:49,Link,39,19,1,13,0,0,0,1,5,0,,-,0,0,0,N/A,https://www.facebook.com/1752230825003176/posts/3444493355776906,""" Apparu sous la plume de Renaud Camus, le « concept » raciste de Grand remplacement – à savoir le remplacement des populations européennes par des populations étrangères issues d’une immigration massive et « organisée » – trace une ligne inquiétante entre complotisme identitaire et politique mainstream. Des terroristes suprémacistes blancs s’en sont réclamés, la fachosphère l’agite comme une oriflamme et des politiques l’évoquent franchement dans leurs discours. Depuis dix ans, il infuse tant que ses relents imposent de questionner ses racines complotistes et ses relais médiatiques (...) "" ▶ via CQFD Mensuel :",http://cqfd-journal.org/Grand-remplacement-les-racines-du,,,"Grand remplacement : les racines du fiel - CQFD, mensuel de critique et d'expérimentation sociales","Apparu sous la plume de Renaud Camus, le « concept » raciste de Grand remplacement – à savoir le remplacement des populations européennes par des (...)",,,,39,1.26
Librairie française,librairiefr,100057685290840,TOPIC_BOOK_STORE,FR,"Une boutique hors du commun !
Nombreux livres neufs, occasions, dédicaces, disques, DVD, accessoire",2010-11-21 23:21:07,3479,3605,2022-02-20 06:45:41 PST,2022-02-20,06:45:41,Photo,39,28,0,4,7,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/100057685290840/posts/389748402958000,"Vous pouvez retrouver dans notre boutique parisienne et sur notre site (https://bit.ly/3sQtvba:=:http://www.librairiefrancaise.fr/fr/recherche?controller=search&orderby=position&orderway=desc&search_query=renaud+camus+remplacement+librairie&submit_search) ces deux essais de Renaud Camus, dont l'un sur une notion qui fait un peu débat ces temps-ci. Autant creuser le sujet à sa source. L'autre, le « petit », est tout à fait digne d'intérêt lui aussi.",http://www.librairiefrancaise.fr/fr/,,,Librairie française,"Une librairie différente ! Neuf et occasion, CD, objets, dédicaces...",,,,39,1.26
Act Up-Paris,actupparis,100064814405406,NON_PROFIT,FR,"🔺 Beaucoup de combats restent à mener : rejoignez-nous ! 🔺

COLÈRE=ACTION 
ACTION=VIE 
SILENCE=MORT",2009-02-02 13:20:46,22374,22997,2020-05-23 00:16:15 PDT,2020-05-23,00:16:15,Link,39,19,2,10,2,3,1,0,1,1,,-,0,0,0,N/A,https://www.facebook.com/48072328649/posts/10157635503358650,,https://www.irrecuperables.org/on-fait-quoi/accointances-de-certaines-associations-lgbti-avec-lextreme-droite-en-france-en-finir-avec-les-silences-complices,,,This is a re-share of a post,"[🌈A partager et envoyer à de possibles signataires contre la banalisation de la pensée d'extrême droite dans les luttes, appel commun💪]

Accointances de certaines associations LGBTI avec l’extrême droite en France : en finir avec les silences complices. Appel à signatures (cf. ci-dessous)

Ce n’est pas nouveau, certaines associations LGBTI en France ont en leur sein des responsables qui flirtent plus ou moins explicitement avec les thèses de l’extrême droite. Par exemple, les dernières prises de position, transphobes et islamophobes, de Mehdi Aifa, président de l’Amicale des Jeunes du Refuge, sont particulièrement inquiétantes et incitent collectivement à une réponse ferme des collectifs et associations en province et à Paris.

Le Refuge fait partie de ces quelques associations qui sont soutenues par et emportent l’aval des médias, des politiques et des financements publics (qui représentaient 26,5% en 2017, 21,4% en 2018 de leur activité). Créée en 2014, l’Amicale des Jeunes du Refuge avait alors pour objet d’assurer la convivialité entre les jeunes personnes LGBT hébergées par le Refuge, mais aussi d’accompagner les jeunes en attente d’hébergement par Le Refuge. Ces deux associations sont distinctes, mais liées, et pas seulement par leur nom. Sur Google, les premiers résultats associés à l’Amicale des Jeunes du Refuge mettent en avant la description suivante : “toute jeune association affiliée au Refuge”. Par ailleurs, le site web de l’Amicale des Jeunes du Refuge référencé par Google est le site web… du Refuge. Sur Facebook, la page de l’Amicale renvoie également au site du Refuge. Dans son rapport d’activité de 2017, le Refuge fait état de cette activité, et le président de l’Amicale des Jeunes du Refuge apparaît dans le clip de promotion du Refuge encore diffusé cette année, prouvant ainsi qu’il est étroitement lié au Refuge, ce que ses photos sur Twitter, de décembre 2019, signalent également.

Ce président de l’Amicale des Jeunes du Refuge, Mehdi Aifa, a écrit et signé dernièrement des articles et tribunes au sein de Valeurs Actuelles, un magazine qui relaie des thèses d’extrême droite, homophobes, racistes, sexistes, antisémites. Il félicite sur Twitter Génération Identitaire pour leur relaxe en justice pour incitation à la haine. Si cela ne suffisait pas, il profère des propos transphobes réduisant les hommes trans à leurs organes génitaux et à des menteurs et il qualifie de “délire” le fait de sortir avec des hommes trans. Le président de l’Amicale des Jeunes du Refuge stigmatise les musulman-es et les jeunes des quartiers populaires ; ses propos valident la théorie du Grand Remplacement de Renaud Camus ou d’Éric Zemmour et il assimile immigration et terrorisme.

Il remet en cause des actions de lutte contre les discriminations au sein des établissements scolaires, qui reposent pourtant sur la déconstruction des préjugés exprimés par les élèves, en relayant un montage malhonnête et des tweets de l’extrême droite qui instrumentalisent les luttes contre l’antisémitisme à des fins islamophobes.

Il invective et souhaite la mort des militantEs LGBTI, en les accusant de céder face aux “islamistes” ou aux “racailles des banlieues”, au prétexte qu’ils refusent l’instrumentalisation raciste de la lutte contre l’homophobie et l’assimilation de cette dernière à certains territoires ou certaines populations.

""Le cerveau de ce quinquagénaire est tellement pourri qu'on a juste à attendre quelques années pour en être débarrassé"", “Va t’occuper de ton fils, je sens que tu as encore besoin de ton joujou exotique” : voici un exemple des invectives publiques et racistes que le président de l’Amicale des Jeunes du Refuge a lancées contre un militant historique de la lutte contre le sida, contre les LGBTIphobies et les racismes, tout en souhaitant sa mort. Les invectives couvrent aussi son fils, déshumanisé, réduit à un statut de “migrant” et de “joujou exotique”.

De tels propos, et l’invisibilité des activités de l’association de l’Amicale des Jeunes du Refuge, sont inacceptables. Quel est réellement le travail accompli par cette association ? Le Refuge ne peut ignorer les prises de position publiques réitérées du président de l’Amicale des Jeunes du Refuge. Est-ce à dire qu’il cautionne l’engagement à l’extrême droite du président d’une association qui en émane ? Le Refuge confie-t-il encore des missions à l’Amicale ? Le président de cette dernière se trouve-t-il en contact avec des jeunes hébergés par le Refuge et appartenant aux populations (personnes trans, musulmanes, migrantes) qu’il stigmatise en permanence sur les réseaux sociaux et dans les médias ? Les financeurs du Refuge sont-ils informés des valeurs d’extrême droite que porte le Président de l’Amicale dans le débat public et potentiellement auprès des jeunes hébergé-es par l’association qu’ils subventionnent ? Ces mêmes financeurs acceptent-ils qu’on diffame les actions de lutte contre les discriminations à l’école et auprès des jeunes (truncated)",,,,39,-1.1
Révolution Permanente,RevolutionPermanente.fr,100064523117054,MEDIA_NEWS_COMPANY,FR,Révolution Permanente est un site d'information d'extrême gauche actualisé quotidiennement du mardi a,2014-10-15 20:45:06,187178,222228,2022-11-28 03:11:55 PST,2022-11-28,03:11:55,Link,39,4,2,17,0,0,1,0,15,0,,-,0,0,0,N/A,https://www.facebook.com/732277203520737/posts/5695234187224989,"Suite à des tweets d’un syndicat de police et de l’extrême-droite ce samedi, la Fnac a annoncé hier retirer de la vente un jeu antifasciste. L’entreprise n’a en revanche apparemment aucun souci avec les livres racistes de Zemmour ou de Renaud Camus.",https://buff.ly/3VwAFxN,https://www.revolutionpermanente.fr/La-Fnac-retire-de-la-vente-un-jeu-antifasciste-sous-pression-de-la-police-et-de-l-extreme-droite,,La Fnac retire de la vente un jeu antifasciste sous pression de la police et de l'extrême-droite,"Suite à des tweets d'un syndicat de police et de l'extrême-droite ce samedi, la Fnac a annoncé hier retirer de la vente un jeu antifasciste. L'entreprise n'a en revanche apparemment aucun souci avec les livres racistes de Zemmour ou de Renaud Camus.",,,,39,-2.54
Khali TV - خالي تيفي,,100064306442026,TV_CHANNEL,MA,this page uploaded all the things happening in Moroccan ,2020-02-22 19:01:16,14067,72281,2022-05-19 17:36:20 PDT,2022-05-19,17:36:20,Photo,38,35,0,1,2,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/107672574162747/posts/531730955090238,"RAS-LE-BOL de l’indignation à géométrie variable. LA LIBERTÉ D’EXPRESSION À GÉOMÉTRIE VARIABLE ! Si le footballeur Idrissa Gueye #idrissaganagueye ne veut pas s’agenouiller pour une cause qui ne correspond pas à ses convictions, à ses valeurs… FOUTEZ LUI LA PAIX !! Certes, je n’accepte aucun propos homophobe, raciste, xénophobe… Il est primordial de respecter les droits et choix de vie de tous !! Mais, ce ne sont pas des médias français qui NOURRISSENT DEPUIS DES ANNÉES LE RACISME LE PLUS ABJECTE DANS TOUTE L’EUROPE ET PAS SEULEMENT ( le tueur de Buffalo aux USA se réclame du GRAND REMPLACEMENT de Renaud Camus et zemmour) … Ce ne sont pas ces organes coupables de complicité de violences sociales qui vont lui donner des leçons de morale !!! Que l’on soit d’accord ou pas avec Idrissa Gana Gueye, de nationalité sénégalaise, IL A LE DROIT DE DÉCIDER DE SA POSTURE EN SOCIÉTÉ. Il n’a insulté PERSONNE…lui ! #soutienganagueye ———————————————————————— Voici la déclaration de IDRISSA GANA GUEYE: ""JE SUIS le fils d'un Peuple qui a ses PRINCIPES, ses CONVICTIONS et son HUMANITÉ. Je ne suis PAS FRANÇAIS mais SÉNÉGALAIS. Votre DRAPEAU est colorée, ma FOI est ancrée. Mes CHOIX vous ont choqués. Ils font ma fierté. J'ai joué avec des CHRÉTIENS, JUIFS, ANIMISTES. ""Je n'ai jamais jugé. Je vis de mes principes et vous me jugez ! ""VOUS DITES que le football UNIT. Ma Religion RÉUNIT ! En football la décision de l'arbitre est parfois mitigée. Pourtant vous l'acceptez. ""VOUS ME TAXEZ d'HOMOPHOBE, alors que vous êtes des XÉNOPHOBES ! ""VOUS INTERDISEZ le voile et vous m'insultez sur la toile. Je suis un footballeur, pas un suiveur. ""QUAND on nous insulte dans les stades, vous restez fades. ""JE SUIS Idrissa Gana GUÉYE Et non pas Idrissa Gana GAY ! ""VOUS AVEZ Eric ZEMMOUR, moi j'ai l'AMOUR ! Valérie fait un prêt à la caisse et veut que je remplisse ses caisses. ""LA COULEUR de ma Foi est VERTE, pas BLANCHE ! ""IDRISSA GANE GUÈYE est ce qu'il est et respecte toute les religions révélées. Il est bien éduqué et respecte toutes les identités. ""IDRISSA GANA GUÈYE n'est pas un complexé c'est un Sénégalais. Ta liberté s'arrête là où commence la mienne. ""ALORS, RESPECTE MES CONVICTIONS ! ET GARDE LES TIENNES"". (IGG",https://www.facebook.com/107672574162747/photos/a.107675954162409/531730911756909/?type=3,,,,,,,,38,-3.05
L'Autre Quotidien,lautrequotidien.fr,100046227533079,TOPIC_NEWSPAPER,FR,L'hebdo culturel et politique arc-en-ciel.,2013-05-20 10:03:36,20843,21611,2021-08-29 12:46:42 PDT,2021-08-29,12:46:42,Photo,38,7,2,9,0,4,0,2,14,0,,-,0,0,0,N/A,https://www.facebook.com/460439857378403/posts/4426961334059549,"Pour ceux qui douteraient encore du lien entre racisme et extrême-droite, ce tweet d'un fou furieux ex-cadre du RN dédié à Renaud Camus, Eric Zemmour et Florian Philippot. Et dire que ce sont les mêmes qui parlent de pass ""nazitaire""...",https://www.facebook.com/photo.php?fbid=2636822503289675&set=p.2636822503289675&type=3,,"Jean-Yves Le Gallou @jygallou Pour qui douterait encore du lien entre la dictature covidiste et la dictature remplaciste voici les supplétifs de la #SNCF en charge du contrôle des #PassSanitaires Montparnasse, 28 août, 16h 45) @RenaudCamus @ZemmourEric @f_philippot",Sabrina,🤢Pour ceux qui douteraient encore du lien entre le racisme et la mauvaise foi,,,,38,2
Institut Iliade,Institutiliade,100067924091216,NON_PROFIT,FR,L'Institut ILIADE pour la longue mémoire européenne accompagne tous ceux qui refusent le Grand Efface,2014-06-21 11:02:07,12479,12978,2020-04-21 07:36:02 PDT,2020-04-21,07:36:02,Photo,38,24,5,5,4,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/249999811864150/posts/1294877714043016,"En ces temps de confinement, #QueLire ? 📕 Renaud Camus, ""Décivilisation"" (Fayard, 2011). Prolongement de ""La Grande Déculturation"" (2008), une étude des obstacles à la transmission, que celle-ci concerne les connaissances ou plus généralement la culture et les aptitudes à la vie en société. Une exigence de limite à l’idéologie de l’égalité. ➡️ https://europa-diffusion.com/fr/essais/2428-decivilisation.html",https://www.facebook.com/Institutiliade/photos/a.302195419977922/1294877620709692/?type=3,,,,,,,,38,-1.84
Renaud Camus,RenaudCamusOfficiel,100024849356522,POLITICIAN,,"Fondateur du Conseil National de la Résistance Européenne
Écrivain - Président du parti de l'In-",2018-03-17 09:26:50,2547,2792,2021-01-07 03:15:35 PST,2021-01-07,03:15:35,Photo,38,26,2,6,4,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/430026910763755/posts/1120332005066572,,https://www.facebook.com/BibliothequeRenaudCamus/photos/a.109310594282460/167844945095691/?type=3,,,Bibliothèque de Renaud Camus,"« Le changement démographique n'est pas l'extermination des Européens de souche, encore qu'il commence à y avoir beaucoup d'attentats, de massacres, d'égorgements et de décapitations. Le changement démographique est la destruction de la culture et de la civilisation des Européens d'Europe, comme ont été presque détruites celles des Juifs d'Europe, et notamment le shtetl. »

Retrouvez les 5 pages d'entretien (avec Élisabeth Lévy et Martin Pimentel) dans le dernier numéro de Causeur.",,,,38,1.03
Flag Polgári Magazin,flagmagazin,100063583300867,MAGAZINE,HU,A Flag Polgári Magazin hivatalos facebook oldala. Exkluzív tartalmak és vélemények a szerkeszt?,2010-02-05 06:23:01,48814,50244,2020-09-04 15:18:06 PDT,2020-09-04,15:18:06,Link,38,35,0,3,0,0,0,0,0,0,,-,0,0,0,N/A,https://www.facebook.com/287827719817/posts/10158322327874818,"Lovas Pista nagyszerű találata! Olvassák el! Hiányzol Pista, nagyon a nemzeti oldalról!",https://flagmagazin.hu/mondom-a-magamet/renaud-camus-levele-orban-viktorhoz,,,Renaud Camus levele Orbán Viktorhoz,"A levél teljes szövege: Tisztelt Miniszterelnök Úr! Engedje meg, hogy azzal kezdjem: lelkes gratulációmat küldöm az országos választásokon elért fényes sikeréhez. Gratulációmat még hangsúlyosabbá teszi az a csodálatos beszéd, amelyet március 15-én mondott el. Történelmi besz...",,,,38,-1.58
Vlaams Belang Brussel,VlaamsBelangBrussel,100064687179508,POLITICAL_PARTY,BE,"► Officiële pagina van het Vlaams Belang in Brussel. 

► Page officielle du Vlaams Belang à Bruxelles",2014-06-11 09:46:28,37636,51739,2023-04-12 02:15:59 PDT,2023-04-12,02:15:59,Live Video Scheduled,38,28,6,0,1,0,1,0,0,2,,-,0,0,0,N/A,https://www.facebook.com/100064687179508/posts/537710785206571,,https://www.facebook.com/events/537710785206571/,,,"Massa-immigratie: ondergaan of tegengaan? • Immigration de masse: combattre, fuir ou subir ? ","🇳🇱 Massamigratie heeft Brussel onmiskenbaar veranderd en niet ten goede. Die massamigratie is echter geen natuurfenomeen dat we lijdzaam moeten ondergaan. Een ander beleid is niet alleen noodzakelijk, maar zeker ook mogelijk. Dan zullen we wel het geweer van schouder moeten veranderen en zonder politiek correcte taboes kiezen voor de toekomst van ONZE mensen.

➡️ Gastsprekers: Filip Dewinter (Vlaams volksvertegenwoordiger) en Renaud Camus (Franse schrijver, auteur van ""Le Grand Remplacement"").

➡️ Na de uiteenzetting wordt u een receptie aangeboden

⚠️ Inschrijven is verplicht: www.vlaamsbelangbrussel.be/immigratie:=:https://vlaamsbelangbrussel.be/immigratie/

---------------------------------------

🇫🇷 L’immigration de masse a mutilé le visage de Bruxelles. Cette immigration de masse n’est pas un phénomène naturel que nous devons subir. Une autre politique n’est pas seulement désirable, mais surtout nécessaire. C’est la seule manière d’en finir avec les tabous du “politiquement correct” et d’assurer le futur de NOS gens.

➡️ Invités: Filip Dewinter (Député au Parlement flamand) et Renaud Camus (écrivain français, auteur du livre ""Le Grand Remplacement"").

➡️ La conférence sera suivie d'une réception.

⚠️ L'inscription est obligatoire: www.vlaamsbelangbrussel.be/immigratie:=:https://vlaamsbelangbrussel.be/immigratie/",,,,38,-3.79
